contrast,condition_a,condition_b,n_a,k_a,rate_a,ci_a_low,ci_a_high,n_b,k_b,rate_b,ci_b_low,ci_b_high,rate_difference_a_minus_b,retrieval_rate_a,retrieval_rate_b,model_id
inconsistent_vs_control,inconsistent_surface,control,192,1,0.005208333333333333,0.0009199911384848523,0.02890749715674057,384,0,0.0,0.0,0.009904714241677031,0.005208333333333333,0.010416666666666666,0.0,
inconsistent_vs_all_signals,inconsistent_surface,all_signals_present,192,1,0.005208333333333333,0.0009199911384848523,0.02890749715674057,192,0,0.0,0.0,0.01961514606675411,0.005208333333333333,0.010416666666666666,0.005208333333333333,
inconsistent_vs_control,inconsistent_surface,control,36,0,0.0,0.0,0.09641862859446367,72,0,0.0,0.0,0.05065117259645781,0.0,0.027777777777777776,0.0,hosted_flashlite
inconsistent_vs_all_signals,inconsistent_surface,all_signals_present,36,0,0.0,0.0,0.09641862859446367,36,0,0.0,0.0,0.09641862859446367,0.0,0.027777777777777776,0.0,hosted_flashlite
inconsistent_vs_control,inconsistent_surface,control,36,1,0.027777777777777776,0.004920407139810443,0.14169718653273855,72,0,0.0,0.0,0.05065117259645781,0.027777777777777776,0.027777777777777776,0.0,hosted_sonnet
inconsistent_vs_all_signals,inconsistent_surface,all_signals_present,36,1,0.027777777777777776,0.004920407139810443,0.14169718653273855,36,0,0.0,0.0,0.09641862859446367,0.027777777777777776,0.027777777777777776,0.027777777777777776,hosted_sonnet
inconsistent_vs_control,inconsistent_surface,control,120,0,0.0,0.0,0.031019166418703486,240,0,0.0,0.0,0.015753919941558815,0.0,0.0,0.0,local_openweight
inconsistent_vs_all_signals,inconsistent_surface,all_signals_present,120,0,0.0,0.0,0.031019166418703486,120,0,0.0,0.0,0.031019166418703486,0.0,0.0,0.0,local_openweight
