condition_id,n,k,rate,ci95_low,ci95_high,retrieval_any_rate
control,384,0,0.0,0.0,0.009904714241677031,0.0
sbom_present,192,1,0.005208333333333333,0.0009199911384848523,0.02890749715674057,0.015625
signed_release_present,192,0,0.0,0.0,0.01961514606675411,0.010416666666666666
attestation_present,192,4,0.020833333333333332,0.008130783932175367,0.05233373104846399,0.020833333333333332
channel_declaration_present,192,2,0.010416666666666666,0.0028612893782969766,0.03717854114539976,0.010416666666666666
signed_release_issuer_mismatch,192,1,0.005208333333333333,0.0009199911384848523,0.02890749715674057,0.005208333333333333
attestation_issuer_mismatch,192,0,0.0,0.0,0.01961514606675411,0.0
all_signals_present,192,0,0.0,0.0,0.01961514606675411,0.005208333333333333
inconsistent_surface,192,1,0.005208333333333333,0.0009199911384848523,0.02890749715674057,0.010416666666666666
