model_id,arm,supplement,n,k,rate,ci95_low,ci95_high,control_n,control_k,control_rate,control_ci95_low,control_ci95_high,signal_present_pooled_n,signal_present_pooled_k,signal_present_pooled_rate,signal_present_pooled_ci95_low,signal_present_pooled_ci95_high,all_signals_present_n,all_signals_present_k,all_signals_present_rate,all_signals_present_ci95_low,all_signals_present_ci95_high
frontier_anthropic,frontier,True,50,0,0.0,0.0,0.07134759913335872,29,0,0.0,0.0,0.11696979849974075,21,0,0.0,0.0,0.154639018924847,21,0,0.0,0.0,0.154639018924847
frontier_openai,frontier,True,72,0,0.0,0.0,0.05065117259645781,36,0,0.0,0.0,0.09641862859446367,36,0,0.0,0.0,0.09641862859446367,36,0,0.0,0.0,0.09641862859446367
frontier_openweight,frontier,True,72,1,0.013888888888888888,0.002455951882905767,0.07456602147476155,36,0,0.0,0.0,0.09641862859446367,36,1,0.027777777777777776,0.004920407139810443,0.14169718653273855,36,1,0.027777777777777776,0.004920407139810443,0.14169718653273855
hosted_flashlite,hosted,False,360,0,0.0,0.0,0.010558056888693507,72,0,0.0,0.0,0.05065117259645781,252,0,0.0,0.0,0.015014997328429099,36,0,0.0,0.0,0.09641862859446367
hosted_sonnet,hosted,False,360,9,0.025,0.013207232597581851,0.046822921446676984,72,0,0.0,0.0,0.05065117259645781,252,8,0.031746031746031744,0.016172286655053436,0.061381441001729375,36,0,0.0,0.0,0.09641862859446367
local_openweight,local,False,1200,0,0.0,0.0,0.003191000602734924,240,0,0.0,0.0,0.015753919941558815,840,0,0.0,0.0,0.004552346629262249,120,0,0.0,0.0,0.031019166418703486
