model_id,provider,ledger_usd,console_group,console_usd,console_group_ledger_usd,residual_usd,residual_pct_of_ledger,card_component_uncached_usd,card_component_cache_write_usd,card_component_cache_read_usd,card_component_output_usd,card_components_sum_usd,cache_read_share_of_input_tokens
frontier_anthropic,Anthropic,50.059167,anthropic,87.56,87.39597859999999,0.16402140000000998,0.18767614097064414,0.23022,9.4691,7.656397,32.70345,50.059166999999995,0.9074843068233094
frontier_openai,OpenAI,4.9159528,openai,5.43,4.9159528,0.5140471999999994,10.456715532337888,1.998768,0.0,0.9483648,1.96882,4.9159528,0.8259279231827169
frontier_openweight,DeepInfra,3.4461224,deepinfra,3.51,3.4461224,0.06387759999999965,1.8536079856014296,0.794376,0.0,0.9198624,1.731884,3.4461224,0.8527211807579527
hosted_flashlite,Google,5.15565693,google,4.51,5.15565693,-0.6456569300000004,-12.52327179186456,4.7055470999999995,0.0,0.00412983,0.44598,5.155656929999999,0.008700156950550781
hosted_sonnet,Anthropic,37.0168116,anthropic,87.56,87.39597859999999,0.16402140000000998,0.18767614097064414,1.086862,9.35149,8.940599599999999,17.63786,37.0168116,0.9125477205443686
local_openweight,local,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
