contrast,condition_a,condition_b,n_a,k_a,rate_a,ci_a_low,ci_a_high,n_b,k_b,rate_b,ci_b_low,ci_b_high,rate_difference_a_minus_b,retrieval_rate_a,retrieval_rate_b,model_id
signed_release,signed_release_present,signed_release_issuer_mismatch,192,0,0.0,0.0,0.01961514606675411,192,1,0.005208333333333333,0.0009199911384848523,0.02890749715674057,-0.005208333333333333,0.010416666666666666,0.005208333333333333,
attestation,attestation_present,attestation_issuer_mismatch,192,4,0.020833333333333332,0.008130783932175367,0.05233373104846399,192,0,0.0,0.0,0.01961514606675411,0.020833333333333332,0.020833333333333332,0.0,
signed_release,signed_release_present,signed_release_issuer_mismatch,36,0,0.0,0.0,0.09641862859446367,36,0,0.0,0.0,0.09641862859446367,0.0,0.027777777777777776,0.0,hosted_flashlite
attestation,attestation_present,attestation_issuer_mismatch,36,0,0.0,0.0,0.09641862859446367,36,0,0.0,0.0,0.09641862859446367,0.0,0.0,0.0,hosted_flashlite
signed_release,signed_release_present,signed_release_issuer_mismatch,36,0,0.0,0.0,0.09641862859446367,36,1,0.027777777777777776,0.004920407139810443,0.14169718653273855,-0.027777777777777776,0.027777777777777776,0.027777777777777776,hosted_sonnet
attestation,attestation_present,attestation_issuer_mismatch,36,4,0.1111111111111111,0.04406640300315648,0.25314808590364857,36,0,0.0,0.0,0.09641862859446367,0.1111111111111111,0.1111111111111111,0.0,hosted_sonnet
signed_release,signed_release_present,signed_release_issuer_mismatch,120,0,0.0,0.0,0.031019166418703486,120,0,0.0,0.0,0.031019166418703486,0.0,0.0,0.0,local_openweight
attestation,attestation_present,attestation_issuer_mismatch,120,0,0.0,0.0,0.031019166418703486,120,0,0.0,0.0,0.031019166418703486,0.0,0.0,0.0,local_openweight
