model_id,condition_id,harness_id,trials,usd_total,usd_per_trial,mean_api_calls,mean_wall_clock_seconds,mean_output_tokens
frontier_anthropic,all_signals_present,autonomous,9,7.55612,0.8395688888888889,14.222222222222221,205.5031111111111,10766.444444444445
frontier_anthropic,all_signals_present,gated,12,10.3468335,0.862236125,13.333333333333334,213.41,11447.5
frontier_anthropic,control,autonomous,15,18.583957,1.2389304666666667,18.2,302.15933333333334,15759.133333333333
frontier_anthropic,control,gated,14,13.5722565,0.9694468928571428,14.357142857142858,254.27407142857143,13101.0
frontier_openai,all_signals_present,autonomous,18,1.268126,0.07045144444444446,8.944444444444445,56.01394444444444,1468.3333333333333
frontier_openai,all_signals_present,gated,18,1.2854688,0.07141493333333333,9.0,55.48927777777778,1444.5
frontier_openai,control,autonomous,18,1.1780784,0.0654488,9.38888888888889,55.589666666666666,1368.2222222222222
frontier_openai,control,gated,18,1.1842796,0.06579331111111111,8.88888888888889,59.52666666666667,1187.888888888889
frontier_openweight,all_signals_present,autonomous,18,0.8280582,0.04600323333333333,17.38888888888889,440.6497222222222,6602.333333333333
frontier_openweight,all_signals_present,gated,18,1.01716265,0.056509036111111105,18.666666666666668,521.6995000000001,8169.888888888889
frontier_openweight,control,autonomous,18,0.74156875,0.04119826388888889,16.38888888888889,359.6598888888889,6052.111111111111
frontier_openweight,control,gated,18,0.8593328,0.04774071111111111,19.444444444444443,488.9368333333333,6665.888888888889
hosted_flashlite,all_signals_present,autonomous,18,0.2407308,0.013373933333333332,11.222222222222221,45.98577777777778,486.1666666666667
hosted_flashlite,all_signals_present,gated,18,0.2697623,0.014986794444444444,11.5,45.22911111111111,525.1111111111111
hosted_flashlite,attestation_issuer_mismatch,autonomous,18,0.2750179,0.015278772222222221,11.944444444444445,39.51322222222222,529.5555555555555
hosted_flashlite,attestation_issuer_mismatch,gated,18,0.24739150000000001,0.013743972222222223,11.61111111111111,40.42455555555556,497.72222222222223
hosted_flashlite,attestation_present,autonomous,18,0.2609282,0.014496011111111111,11.0,45.7745,480.94444444444446
hosted_flashlite,attestation_present,gated,18,0.2551541,0.014175227777777778,11.277777777777779,45.701166666666666,478.27777777777777
hosted_flashlite,channel_declaration_present,autonomous,18,0.3830844,0.021282466666666666,14.055555555555555,52.35194444444445,616.3333333333334
