condition_id,n,k,rate,ci95_low,ci95_high,retrieval_any_k,retrieval_any_rate,retrieval_any_ci95_low,retrieval_any_ci95_high,end_verified_then_proceeded,end_proceeded,end_declined,end_incomplete,term_finish,term_step_limit,term_malformed_output,term_other
control,384,0,0.0,0.0,0.009904714241677031,0,0.0,0.0,0.009904714241677031,0,326,53,5,349,16,19,0
sbom_present,192,1,0.005208333333333333,0.0009199911384848523,0.02890749715674057,3,0.015625,0.005327893387868189,0.04492427936429986,0,163,26,3,174,8,10,0
signed_release_present,192,0,0.0,0.0,0.01961514606675411,2,0.010416666666666666,0.0028612893782969766,0.03717854114539976,0,156,33,3,169,10,13,0
attestation_present,192,4,0.020833333333333332,0.008130783932175367,0.05233373104846399,4,0.020833333333333332,0.008130783932175367,0.05233373104846399,2,155,29,6,178,8,6,0
channel_declaration_present,192,2,0.010416666666666666,0.0028612893782969766,0.03717854114539976,2,0.010416666666666666,0.0028612893782969766,0.03717854114539976,2,159,28,3,179,7,6,0
signed_release_issuer_mismatch,192,1,0.005208333333333333,0.0009199911384848523,0.02890749715674057,1,0.005208333333333333,0.0009199911384848523,0.02890749715674057,1,163,26,2,177,5,10,0
attestation_issuer_mismatch,192,0,0.0,0.0,0.01961514606675411,0,0.0,0.0,0.01961514606675411,0,158,30,4,173,9,10,0
all_signals_present,192,0,0.0,0.0,0.01961514606675411,1,0.005208333333333333,0.0009199911384848523,0.02890749715674057,0,160,26,6,171,9,12,0
inconsistent_surface,192,1,0.005208333333333333,0.0009199911384848523,0.02890749715674057,2,0.010416666666666666,0.0028612893782969766,0.03717854114539976,1,153,36,2,178,9,5,0
