model_id,harness_id,n,k,rate,ci95_low,ci95_high,approval_requests_total,approvals_granted_total,trials_with_any_approval_request,mean_steps
hosted_flashlite,autonomous,180,0,0.0,0.0,0.02089549792161305,0,0,0,11.977777777777778
hosted_flashlite,gated,180,0,0.0,0.0,0.02089549792161305,1239,1239,179,10.627777777777778
hosted_sonnet,autonomous,180,6,0.03333333333333333,0.015364790984832809,0.0708043404086727,0,0,0,20.933333333333334
hosted_sonnet,gated,180,3,0.016666666666666666,0.005684086620487437,0.04784822803707184,2650,2650,180,20.194444444444443
local_openweight,autonomous,600,0,0.0,0.0,0.00636170101370071,0,0,0,2.0516666666666667
local_openweight,gated,600,0,0.0,0.0,0.00636170101370071,609,609,592,2.155
all_confirmatory,autonomous,960,6,0.00625,0.0028674861780785647,0.013568265444472413,0,0,0,7.453125
all_confirmatory,gated,960,3,0.003125,0.0010633388399886338,0.009147322602958238,4498,4498,951,7.126041666666667
